Census Year,CountyFIPSCode,Economic Development Region,Workforce Development Area,County Name,County Code,Age Range,Gender,Total Population,No High School Diploma,High School Diploma Or Equivalent,Some College No Degree,Associate's Degree,Bachelor's Degree,Graduate or Professional Degree,BachelorDegreeAndMore,Total Post-Secondary Degrees,latitude,longitude
01/01/2014 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,25 to 34 Years,Female,2044,128,594,342,246,477,257,734,980,41.8167524,-79.2785816
01/01/2012 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,35 to 44 Years,Female,2499,161,947,441,375,345,230,575,950,41.8167524,-79.2785816
01/01/2013 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,25 to 34 Years,Female,2019,135,640,348,246,422,228,650,896,41.8167524,-79.2785816
01/01/2013 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,35 to 44 Years,Female,2392,163,889,462,316,336,226,562,878,41.8167524,-79.2785816
01/01/2015 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,25 to 34 Years,Female,2024,161,560,386,213,481,223,704,917,41.8167524,-79.2785816
01/01/2014 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,35 to 44 Years,Female,2316,138,816,501,295,347,219,566,861,41.8167524,-79.2785816
01/01/2015 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,35 to 44 Years,Female,2277,132,798,495,336,312,204,516,852,41.8167524,-79.2785816
01/01/2016 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,25 to 34 Years,Female,2029,160,544,393,225,506,201,707,932,41.8167524,-79.2785816
01/01/2016 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,35 to 44 Years,Female,2187,103,757,533,318,289,187,476,794,41.8167524,-79.2785816
01/01/2011 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,35 to 44 Years,Female,2577,154,1058,464,361,365,175,540,901,41.8167524,-79.2785816
01/01/2010 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,35 to 44 Years,Female,2646,168,1157,473,312,371,165,536,848,41.8167524,-79.2785816
01/01/2012 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,25 to 34 Years,Female,2023,102,768,321,250,425,157,582,832,41.8167524,-79.2785816
01/01/2012 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,35 to 44 Years,Male,2553,229,1215,430,182,350,147,497,679,41.8167524,-79.2785816
01/01/2011 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,25 to 34 Years,Female,2013,107,760,324,295,388,139,527,822,41.8167524,-79.2785816
01/01/2015 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,35 to 44 Years,Male,2324,176,1003,438,239,335,133,468,707,41.8167524,-79.2785816
01/01/2010 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,25 to 34 Years,Female,2025,98,750,353,311,384,129,513,824,41.8167524,-79.2785816
01/01/2013 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,25 to 34 Years,Male,2175,247,766,356,283,400,123,523,806,41.8167524,-79.2785816
01/01/2013 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,35 to 44 Years,Male,2467,226,1180,416,179,345,121,466,645,41.8167524,-79.2785816
01/01/2014 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,35 to 44 Years,Male,2413,208,1104,470,176,334,121,455,631,41.8167524,-79.2785816
01/01/2016 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,35 to 44 Years,Male,2224,193,886,449,251,328,117,445,696,41.8167524,-79.2785816
01/01/2012 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,25 to 34 Years,Male,2167,206,852,388,255,352,114,466,721,41.8167524,-79.2785816
01/01/2015 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,25 to 34 Years,Male,2151,222,888,304,252,375,110,485,737,41.8167524,-79.2785816
01/01/2011 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,25 to 34 Years,Male,2157,231,826,412,244,335,109,444,688,41.8167524,-79.2785816
01/01/2016 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,25 to 34 Years,Male,2141,220,863,317,267,368,106,474,741,41.8167524,-79.2785816
01/01/2014 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,25 to 34 Years,Male,2160,208,785,331,320,412,104,516,836,41.8167524,-79.2785816
01/01/2010 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,25 to 34 Years,Male,2067,186,806,389,272,311,103,414,686,41.8167524,-79.2785816
01/01/2011 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,35 to 44 Years,Male,2625,222,1362,411,192,344,94,438,630,41.8167524,-79.2785816
01/01/2010 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,35 to 44 Years,Male,2658,242,1254,417,192,461,92,553,745,41.8167524,-79.2785816
01/01/2016 12:00:00 AM,42083,Northwest,North Central WDA,McKean,42,45 to 64 Years,Female,5872,447,2647,972,662,611,533,1144,1806,41.8103707,-78.5712202
01/01/2015 12:00:00 AM,42083,Northwest,North Central WDA,McKean,42,45 to 64 Years,Female,5941,420,2721,1010,675,595,520,1115,1790,41.8103707,-78.5712202
01/01/2014 12:00:00 AM,42083,Northwest,North Central WDA,McKean,42,45 to 64 Years,Female,5971,481,2814,976,676,522,502,1024,1700,41.8103707,-78.5712202
01/01/2012 12:00:00 AM,42083,Northwest,North Central WDA,McKean,42,45 to 64 Years,Female,6030,393,3000,1002,632,505,498,1003,1635,41.8103707,-78.5712202
01/01/2011 12:00:00 AM,42083,Northwest,North Central WDA,McKean,42,45 to 64 Years,Female,5983,382,3027,964,600,516,494,1010,1610,41.8103707,-78.5712202
01/01/2013 12:00:00 AM,42083,Northwest,North Central WDA,McKean,42,45 to 64 Years,Female,6011,406,2976,973,636,532,488,1020,1656,41.8103707,-78.5712202
01/01/2015 12:00:00 AM,42083,Northwest,North Central WDA,McKean,42,45 to 64 Years,Male,6259,529,3108,944,501,732,445,1177,1678,41.8103707,-78.5712202
01/01/2010 12:00:00 AM,42083,Northwest,North Central WDA,McKean,42,45 to 64 Years,Female,5928,349,3188,891,516,566,418,984,1500,41.8103707,-78.5712202
01/01/2011 12:00:00 AM,42083,Northwest,North Central WDA,McKean,42,45 to 64 Years,Male,6337,515,3316,986,415,692,413,1105,1520,41.8103707,-78.5712202
01/01/2012 12:00:00 AM,42083,Northwest,North Central WDA,McKean,42,45 to 64 Years,Male,6317,481,3248,978,449,749,412,1161,1610,41.8103707,-78.5712202
01/01/2013 12:00:00 AM,42083,Northwest,North Central WDA,McKean,42,45 to 64 Years,Male,6305,422,3206,1040,465,764,408,1172,1637,41.8103707,-78.5712202
01/01/2016 12:00:00 AM,42083,Northwest,North Central WDA,McKean,42,45 to 64 Years,Male,6223,527,3219,958,483,663,373,1036,1519,41.8103707,-78.5712202
01/01/2010 12:00:00 AM,42083,Northwest,North Central WDA,McKean,42,45 to 64 Years,Male,6303,536,3250,1008,385,756,368,1124,1509,41.8103707,-78.5712202
